salary_in_usd,experience_level,employment_type,employee_residence,remote_ratio,job_super_title,continent,company_size
200000,SE,FT,GB,100,Data Analyst,Europe,S
74378,EN,FT,CA,100,Data Scientist,Americas,L
165000,SE,FT,US,50,Data Scientist,Americas,S
33599,EN,FT,GB,50,Data Scientist,Europe,L
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
169000,SE,FT,US,0,Data Analyst,Americas,M
110600,SE,FT,US,0,Data Analyst,Americas,M
5409,EN,FT,IN,50,Software Engineer,Asia,L
75050,MI,FT,AU,50,Data Engineer,Oceania,L
225000,SE,FT,US,0,Data Engineer,Americas,M
184100,SE,FT,US,0,Data Engineer,Americas,M
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
225000,SE,FT,US,0,Data Scientist,Americas,M
156400,SE,FT,US,0,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
108000,EN,FT,US,0,Machine Learning Engineer,Americas,S
8000,SE,FT,IN,100,Data Scientist,Asia,L
155000,SE,FT,US,100,Data Scientist,Americas,M
38000,SE,FT,US,100,Data Scientist,Americas,M
85000,MI,FT,US,0,Data Analyst,Americas,M
65000,MI,FT,US,0,Data Analyst,Americas,M
155000,SE,FT,US,100,Data Scientist,Americas,M
38000,SE,FT,US,100,Data Scientist,Americas,M
111998,MI,FT,GB,0,Data Engineer,Europe,M
93332,MI,FT,GB,0,Data Engineer,Europe,M
153600,SE,FT,US,100,Data Scientist,Americas,M
106800,SE,FT,US,100,Data Scientist,Americas,M
185000,SE,FT,US,100,Data Scientist,Americas,M
50000,SE,FT,US,100,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
155000,SE,FT,US,100,Data Scientist,Americas,M
38000,SE,FT,US,100,Data Scientist,Americas,M
168000,SE,FT,US,100,Data Scientist,Americas,M
130000,SE,FT,US,100,Data Scientist,Americas,M
123400,SE,FT,US,0,Data Scientist,Americas,M
88100,SE,FT,US,0,Data Scientist,Americas,M
120000,SE,FT,US,100,Data Scientist,Americas,S
55000,SE,FT,US,100,Data Scientist,Americas,S
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
191200,SE,FT,US,0,Data Engineer,Americas,M
130000,SE,FT,US,0,Data Engineer,Americas,M
169000,SE,FT,US,0,Data Analyst,Americas,M
110600,SE,FT,US,0,Data Analyst,Americas,M
150000,SE,FT,US,0,Engineer,Americas,M
120000,SE,FT,US,0,Engineer,Americas,M
139000,SE,FT,US,0,Data Scientist,Americas,M
122000,SE,FT,US,0,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Scientist,Americas,M
129300,SE,FT,US,0,Data Scientist,Americas,M
139600,SE,FT,US,0,Data Analyst,Americas,M
85700,SE,FT,US,0,Data Analyst,Americas,M
185000,SE,FT,US,100,Data Engineer,Americas,M
50000,SE,FT,US,100,Data Engineer,Americas,M
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
225000,SE,FT,US,0,Data Scientist,Americas,M
156400,SE,FT,US,0,Data Scientist,Americas,M
200000,SE,FT,US,100,Data Scientist,Americas,M
175000,SE,FT,US,100,Data Scientist,Americas,M
185900,SE,FT,US,0,Data Engineer,Americas,M
129300,SE,FT,US,0,Data Engineer,Americas,M
148500,MI,FT,US,100,Machine Learning Engineer,Americas,L
98200,MI,FT,US,100,Machine Learning Engineer,Americas,L
115000,SE,FT,US,100,Data Analyst,Americas,M
95000,SE,FT,US,100,Data Analyst,Americas,M
225000,SE,FT,US,100,Architect,Americas,M
66000,SE,FT,US,100,Architect,Americas,M
185000,SE,FT,US,100,Data Scientist,Americas,M
50000,SE,FT,US,100,Data Scientist,Americas,M
47546,SE,FT,ES,0,Data Scientist,Europe,M
38037,SE,FT,ES,0,Data Scientist,Europe,M
134000,MI,FT,US,0,Data Manager,Americas,M
98000,MI,FT,US,0,Data Manager,Americas,M
105000,MI,FT,US,0,Data Analyst,Americas,M
62000,MI,FT,US,0,Data Analyst,Americas,M
57000,EN,FT,US,100,Data Analyst,Americas,L
162703,SE,FT,CA,50,Data Engineer,Americas,M
144200,MI,FT,US,100,Data Scientist,Americas,M
115360,MI,FT,US,100,Data Scientist,Americas,M
83964,MI,FT,AU,0,Data Scientist,Oceania,L
38608,SE,FT,IN,100,Architect,Asia,L
73961,SE,FT,PT,0,Data Engineer,Europe,M
42263,SE,FT,PT,0,Data Engineer,Europe,M
170000,SE,FT,US,100,Data Engineer,Americas,M
150000,SE,FT,US,100,Data Engineer,Americas,M
180000,SE,FT,US,100,Architect,Americas,M
160000,SE,FT,US,100,Architect,Americas,M
108000,MI,FT,US,50,Data Scientist,Americas,L
200000,SE,FT,US,100,Data Manager,Americas,M
150000,SE,FT,US,100,Data Manager,Americas,M
127063,EX,FT,CA,50,Data Manager,Americas,L
188700,SE,FT,US,100,Data Engineer,Americas,M
160395,SE,FT,US,100,Data Engineer,Americas,M
115934,SE,FT,US,100,Data Analyst,Americas,M
81666,SE,FT,US,100,Data Analyst,Americas,M
300000,SE,FT,US,0,Data Engineer,Americas,M
225000,SE,FT,US,0,Data Engineer,Americas,M
198440,SE,FT,US,100,Data Scientist,Americas,M
144000,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Applied Scientist,Americas,M
141525,SE,FT,US,100,Applied Scientist,Americas,M
50716,SE,FT,ES,0,Data Analyst,Europe,M
36980,SE,FT,ES,0,Data Analyst,Europe,M
76074,MI,FT,DE,100,Data Scientist,Europe,S
156868,SE,FT,US,100,Data Scientist,Americas,L
200000,SE,FT,NG,100,Analyst,Africa,S
198440,SE,FT,US,0,Data Scientist,Americas,L
144000,SE,FT,US,0,Data Scientist,Americas,L
69734,SE,FT,PT,100,Machine Learning Engineer,Europe,L
5149,MI,FT,CZ,100,Machine Learning Engineer,Europe,M
90000,SE,CT,US,100,Data Analyst,Americas,M
126790,MI,FT,DE,0,Researcher,Europe,S
84527,MI,FT,DE,0,Researcher,Europe,S
200000,SE,FT,US,100,Data Engineer,Americas,M
180000,SE,FT,US,100,Data Engineer,Americas,M
108000,MI,FT,US,100,Engineer,Americas,M
85000,MI,FT,US,100,Engineer,Americas,M
210000,SE,FT,US,100,Machine Learning Engineer,Americas,M
180000,SE,FT,US,100,Machine Learning Engineer,Americas,M
165000,SE,FT,US,100,Data Engineer,Americas,M
132000,SE,FT,US,100,Data Engineer,Americas,M
130000,SE,FT,US,100,Engineer,Americas,M
110000,SE,FT,US,100,Engineer,Americas,M
45480,MI,FT,AU,50,Data Analyst,Oceania,L
42028,EN,FT,AU,50,Data Analyst,Oceania,L
135000,MI,FT,US,100,Data Analyst,Americas,L
178800,SE,FT,US,100,Data Engineer,Americas,L
132100,SE,FT,US,100,Data Engineer,Americas,L
20000,EN,FT,CR,50,Data Analyst,Americas,M
140000,SE,FT,CA,0,Machine Learning Engineer,Americas,M
110000,SE,FT,CA,0,Machine Learning Engineer,Americas,M
160000,SE,FT,US,100,Data Engineer,Americas,M
85000,SE,FT,US,100,Data Engineer,Americas,M
250000,SE,FT,US,100,Software Engineer,Americas,M
63000,SE,FT,US,100,Software Engineer,Americas,M
187200,EX,FT,US,100,Data Engineer,Americas,M
116100,EX,FT,US,100,Data Engineer,Americas,M
10000,MI,FT,TR,0,Data Scientist,Asia,M
200000,SE,FT,US,100,Data Engineer,Americas,M
145000,SE,FT,US,100,Data Engineer,Americas,M
229998,SE,FT,US,0,Data Engineer,Americas,L
154545,SE,FT,US,0,Data Engineer,Americas,L
215000,SE,FT,US,0,Data Scientist,Americas,L
159000,SE,FT,US,0,Data Scientist,Americas,L
229998,SE,FT,US,0,Data Engineer,Americas,L
154545,SE,FT,US,0,Data Engineer,Americas,L
50000,EN,FT,US,100,Scientist,Americas,M
183000,SE,FT,US,100,Data Scientist,Americas,L
99750,SE,FT,US,100,Data Analyst,Americas,M
68400,SE,FT,US,100,Data Analyst,Americas,M
236900,SE,FT,US,100,Data Scientist,Americas,L
159200,SE,FT,US,100,Data Scientist,Americas,L
243225,SE,FT,US,100,Data Scientist,Americas,M
179775,SE,FT,US,100,Data Scientist,Americas,M
175000,SE,FT,US,100,Data Engineer,Americas,M
150000,SE,FT,US,100,Data Engineer,Americas,M
210000,SE,FT,US,100,Machine Learning Engineer,Americas,M
180000,SE,FT,US,100,Machine Learning Engineer,Americas,M
148000,SE,FT,US,100,Data Scientist,Americas,M
128000,SE,FT,US,100,Data Scientist,Americas,M
190000,SE,FT,US,100,Architect,Americas,M
135000,SE,FT,US,100,Architect,Americas,M
130000,SE,FT,US,100,Engineer,Americas,M
110000,SE,FT,US,100,Engineer,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
160000,SE,FT,US,100,Data Engineer,Americas,M
85000,SE,FT,US,100,Data Engineer,Americas,M
218000,SE,FT,US,0,Data Scientist,Americas,M
145300,SE,FT,US,0,Data Scientist,Americas,M
195400,SE,FT,US,100,Machine Learning Engineer,Americas,L
131300,SE,FT,US,100,Machine Learning Engineer,Americas,L
105000,EN,FT,CL,100,Data Manager,Americas,L
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
207000,SE,FT,US,100,Data Scientist,Americas,M
153000,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
110000,SE,FT,US,0,Data Analyst,Americas,M
99000,SE,FT,US,0,Data Analyst,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
200000,SE,FT,PR,100,Machine Learning Engineer,Americas,M
135000,SE,FT,PR,100,Machine Learning Engineer,Americas,M
207000,SE,FT,US,100,Data Scientist,Americas,M
153000,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
195700,SE,FT,US,0,Data Engineer,Americas,M
130500,SE,FT,US,0,Data Engineer,Americas,M
130000,SE,FT,US,100,Machine Learning Engineer,Americas,M
84000,SE,FT,US,100,Machine Learning Engineer,Americas,M
100000,MI,FT,US,100,Engineer,Americas,M
60000,MI,FT,US,100,Engineer,Americas,M
80888,MI,FT,GB,100,Data Engineer,Europe,M
68443,MI,FT,GB,100,Data Engineer,Europe,M
141300,SE,FT,US,0,Data Engineer,Americas,M
102100,SE,FT,US,0,Data Engineer,Americas,M
50716,SE,FT,ES,0,Data Analyst,Europe,M
36980,SE,FT,ES,0,Data Analyst,Europe,M
150000,MI,FT,US,100,Data Analyst,Americas,L
103287,MI,FT,GB,100,Data Scientist,Europe,M
23164,EN,FT,IN,50,Data Scientist,Asia,M
144000,SE,FT,US,100,Data Analyst,Americas,M
113000,SE,FT,US,100,Data Analyst,Americas,M
31697,EN,FT,PT,100,Scientist,Europe,M
195400,SE,FT,US,100,Architect,Americas,L
131300,SE,FT,US,100,Architect,Americas,L
195400,SE,FT,US,100,Machine Learning Engineer,Americas,L
131300,SE,FT,US,100,Machine Learning Engineer,Americas,L
195400,SE,FT,US,100,Architect,Americas,L
131300,SE,FT,US,100,Architect,Americas,L
190000,SE,FT,US,100,Architect,Americas,M
135000,SE,FT,US,100,Architect,Americas,M
135000,SE,FT,US,100,Data Engineer,Americas,M
80000,SE,FT,US,100,Data Engineer,Americas,M
8146,EN,FT,IN,100,Data Analyst,Asia,M
160000,SE,FT,US,100,Data Engineer,Americas,M
85000,SE,FT,US,100,Data Engineer,Americas,M
178800,SE,FT,US,100,Data Engineer,Americas,L
132100,SE,FT,US,100,Data Engineer,Americas,L
60000,MI,CT,IN,100,Machine Learning Engineer,Americas,S
63395,SE,FT,FI,50,Machine Learning Engineer,Europe,S
50000,EN,FT,IN,100,Data Analyst,Oceania,L
140000,SE,FT,US,100,Data Engineer,Americas,M
105000,SE,FT,US,100,Data Engineer,Americas,M
80888,MI,FT,GB,100,Data Engineer,Europe,M
68443,MI,FT,GB,100,Data Engineer,Europe,M
190000,SE,FT,US,100,Engineer,Americas,M
140000,SE,FT,US,100,Engineer,Americas,M
100000,MI,FT,US,100,Engineer,Americas,M
60000,MI,FT,US,100,Engineer,Americas,M
180000,SE,FT,US,100,Data Scientist,Americas,L
165000,SE,FT,US,100,Data Scientist,Americas,L
108000,SE,FT,US,0,Scientist,Americas,L
20000,EN,FT,FR,50,Researcher,Europe,M
190000,SE,FT,US,100,Architect,Americas,M
135000,SE,FT,US,100,Architect,Americas,M
179400,SE,FT,US,0,Data Scientist,Americas,M
154000,SE,FT,US,0,Data Scientist,Americas,M
193900,SE,FT,US,0,Scientist,Americas,M
129300,SE,FT,US,0,Scientist,Americas,M
222640,EX,FT,US,0,Data Scientist,Americas,M
182160,EX,FT,US,0,Data Scientist,Americas,M
150000,MI,FT,US,0,Data Engineer,Americas,M
100000,MI,FT,US,0,Data Engineer,Americas,M
122500,SE,FT,US,100,Engineer,Americas,M
100000,SE,FT,US,100,Engineer,Americas,M
297500,EX,FT,US,100,Data Engineer,Americas,M
260000,EX,FT,US,100,Data Engineer,Americas,M
15000,EN,FT,TH,100,Software Engineer,Asia,L
193000,SE,FT,ES,100,Data Engineer,Americas,M
93000,EN,FT,US,0,Data Scientist,Americas,M
73000,EN,FT,US,0,Data Scientist,Americas,M
100000,MI,FT,US,100,Engineer,Americas,M
60000,MI,FT,US,100,Engineer,Americas,M
7834,EN,FT,BR,100,Data Analyst,Americas,L
136994,SE,FT,US,100,Data Scientist,Americas,M
101570,SE,FT,US,100,Data Scientist,Americas,M
250000,SE,FT,US,100,Software Engineer,Americas,M
63000,SE,FT,US,100,Software Engineer,Americas,M
134000,MI,FT,US,0,Data Manager,Americas,M
98000,MI,FT,US,0,Data Manager,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
58112,SE,FT,FR,50,Data Scientist,Europe,L
136000,MI,FT,US,100,Data Analyst,Americas,M
112000,MI,FT,US,100,Data Analyst,Americas,M
172000,SE,FT,US,100,Data Scientist,Americas,M
140000,SE,FT,US,100,Data Scientist,Americas,M
215000,SE,FT,US,0,Data Engineer,Americas,M
164000,SE,FT,US,0,Data Engineer,Americas,M
300000,SE,FT,US,0,Data Engineer,Americas,M
130000,SE,FT,US,0,Data Engineer,Americas,M
250000,SE,FT,US,100,Data Engineer,Americas,M
63000,SE,FT,US,100,Data Engineer,Americas,M
180000,SE,FT,US,100,Data Engineer,Americas,M
150000,SE,FT,US,100,Data Engineer,Americas,M
45390,EN,FT,GB,50,Data Engineer,Europe,L
250000,SE,FT,US,100,Data Engineer,Americas,M
63000,SE,FT,US,100,Data Engineer,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
97500,MI,FT,US,100,Data Analyst,Americas,L
212800,SE,FT,US,100,Applied Scientist,Americas,M
142800,SE,FT,US,100,Applied Scientist,Americas,M
73961,MI,FT,NL,50,Data Scientist,Europe,L
50000,EN,FT,US,50,Data Scientist,Europe,M
6434,EN,FT,FR,100,Data Analyst,Asia,L
151800,SE,FT,US,0,Data Scientist,Americas,M
130240,SE,FT,US,0,Data Scientist,Americas,M
165000,SE,FT,US,100,Engineer,Americas,M
140250,SE,FT,US,100,Engineer,Americas,M
135000,SE,FT,US,0,Data Engineer,Americas,M
115000,SE,FT,US,0,Data Engineer,Americas,M
179400,SE,FT,US,100,Data Scientist,Americas,M
154000,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
75000,MI,FT,US,0,Data Analyst,Americas,M
84527,MI,FT,GR,100,Data Engineer,Europe,M
73961,MI,FT,GR,100,Data Engineer,Europe,M
99554,MI,FT,GB,100,Data Engineer,Europe,M
87110,MI,FT,GB,100,Data Engineer,Europe,M
84527,MI,FT,ES,100,Data Engineer,Europe,M
73961,MI,FT,ES,100,Data Engineer,Europe,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
103755,SE,FT,GB,100,Engineer,Europe,M
80893,SE,FT,GB,100,Engineer,Europe,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
105724,SE,FT,GB,100,Data Engineer,Europe,M
83155,SE,FT,GB,100,Data Engineer,Europe,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,0,Data Scientist,Americas,M
141525,SE,FT,US,0,Data Scientist,Americas,M
115000,SE,FT,US,0,Data Analyst,Americas,L
31697,EN,FT,ES,50,Data Scientist,Europe,M
81000,SE,FT,US,100,Analyst,Americas,M
66000,SE,FT,US,100,Analyst,Americas,M
46000,EN,FT,US,100,Data Analyst,Americas,L
80000,EN,FT,US,100,Data Engineer,Americas,L
200000,EX,FT,US,100,Scientist,Americas,S
180000,EX,FT,US,100,Scientist,Americas,S
200000,EX,FT,US,100,Scientist,Americas,S
204100,SE,FT,US,0,Data Scientist,Americas,M
136100,SE,FT,US,0,Data Scientist,Americas,M
250000,SE,FT,US,0,Engineer,Americas,M
63000,SE,FT,US,0,Engineer,Americas,M
119465,MI,FT,GB,0,Data Scientist,Europe,M
111998,MI,FT,GB,0,Data Scientist,Europe,M
19073,EN,PT,DK,50,Software Engineer,Europe,L
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
191475,SE,FT,US,100,Data Scientist,Americas,M
141525,SE,FT,US,100,Data Scientist,Americas,M
95000,SE,FT,US,100,Data Manager,Americas,M
70000,SE,FT,US,100,Data Manager,Americas,M
75000,MI,FT,BO,100,Scientist,Americas,M
7500,MI,CT,BO,50,Engineer,Americas,M
113000,MI,FT,US,0,Data Analyst,Americas,L
170000,SE,FT,US,100,Data Scientist,Americas,M
130000,SE,FT,US,100,Data Scientist,Americas,M
113000,MI,FT,US,100,Data Analyst,Americas,L
140000,MI,FT,US,100,Data Analyst,Americas,M
50000,SE,FT,PH,100,Data Analyst,Asia,S
53877,MI,FT,AU,100,Data Analyst,Oceania,M
175000,SE,FT,US,0,Data Scientist,Americas,M
140000,SE,FT,US,0,Data Scientist,Americas,M
2324,EN,FT,AX,0,Researcher,Europe,L
30112,SE,FT,PT,50,Data Scientist,Europe,S
250000,SE,FT,US,0,Engineer,Americas,M
63000,SE,FT,US,0,Engineer,Americas,M
160000,SE,FT,US,0,Data Scientist,Americas,L
119300,SE,FT,US,0,Data Scientist,Americas,L
145000,MI,FT,US,50,Researcher,Americas,L
105000,SE,FT,US,0,Data Engineer,Americas,M
90000,SE,FT,US,0,Data Engineer,Americas,M
146200,SE,FT,US,100,Software Engineer,Americas,M
124270,SE,FT,US,100,Software Engineer,Americas,M
225000,MI,FT,US,0,Data Scientist,Americas,M
160000,MI,FT,US,0,Data Scientist,Americas,M
54942,MI,FT,NL,100,Data Scientist,Europe,S
185800,SE,FT,CA,100,Data Engineer,Americas,M
137400,SE,FT,CA,100,Data Engineer,Americas,M
245000,SE,FT,US,0,Engineer,Americas,M
180000,SE,FT,US,0,Engineer,Americas,M
203500,SE,FT,US,0,Engineer,Americas,M
152000,SE,FT,US,0,Engineer,Americas,M
250000,SE,FT,US,0,Data Engineer,Americas,M
63000,SE,FT,US,0,Data Engineer,Americas,M
186000,SE,FT,US,100,Engineer,Americas,M
